contact_id,algorithm_name
20008311028,user_knn
20017981855,user_knn
20017526589,user_knn
20018059780,user_knn
20015352931,user_knn
20017592828,user_knn
20017892728,user_knn
20018110975,user_knn
20008562705,user_knn
20014709546,user_knn
20014495108,user_knn
20008520304,user_knn
20017433282,user_knn
20017987546,user_knn
20017806456,user_knn
20017842980,user_knn
20008409645,user_knn
20013665926,user_knn
20007535032,user_knn
20011842031,user_knn
20015090833,user_knn
20014019869,user_knn
20009665186,user_knn
20008880779,user_knn
20017017601,user_knn
20017742696,user_knn
20006577979,user_knn
20012656804,user_knn
20018115324,user_knn
20012141930,user_knn
20006993690,user_knn
20009170060,user_knn
20006509973,user_knn
20017769493,user_knn
20018030987,user_knn
20017090944,user_knn
20018014972,user_knn
20016442501,user_knn
20016446977,user_knn
20011292443,user_knn
20018035597,user_knn
20015191351,user_knn
20004907084,user_knn
20017143684,user_knn
20016120036,user_knn
20017805244,user_knn
20016312124,user_knn
20003106783,user_knn
20015761234,user_knn
20013314946,user_knn
20013671398,user_knn
20006297358,user_knn
20018015219,user_knn
20017390115,user_knn
20014486604,user_knn
20018091116,user_knn
20017350127,user_knn
20017374317,user_knn
20016559092,user_knn
20013902889,user_knn
20008511694,user_knn
20016806761,user_knn
20017388323,user_knn
20010369625,user_knn
20011562061,user_knn
20009030873,user_knn
20010806335,user_knn
20017348458,user_knn
20017312008,user_knn
20017437332,user_knn
20012144052,user_knn
20008997968,user_knn
20017162756,user_knn
20017583644,user_knn
20014065420,user_knn
20008829836,user_knn
20014641559,user_knn
20006663514,user_knn
20017887168,user_knn
20017926428,user_knn
20017194388,user_knn
20008514417,user_knn
20017272585,user_knn
20017876847,user_knn
20016367692,user_knn
20017521336,user_knn
20006984741,user_knn
20017441945,user_knn
20018034971,user_knn
20017576029,user_knn
20017597865,user_knn
20017916050,user_knn
20015214053,user_knn
20017681902,user_knn
20018031400,user_knn
20017598215,user_knn
20017731482,user_knn
20017882162,user_knn
20015926860,user_knn
20016578523,user_knn
20007172623,user_knn
20017921529,user_knn
20017989058,user_knn
20013490357,user_knn
20018043574,user_knn
20017886878,user_knn
20017964020,user_knn
20018025199,user_knn
20016062197,user_knn
20015737934,user_knn
20018031531,user_knn
20017876839,user_knn
20017379635,user_knn
20017983086,user_knn
20009130130,user_knn
20013913843,user_knn
20017284365,user_knn
20012039624,user_knn
20015954064,user_knn
20018015848,user_knn
20003012099,user_knn
20008369187,user_knn
